"name","year","quarter","month","sum"
"Bangladesh",2017,4,"November",0
"Bangladesh",2017,4,"October",70.0
"Bangladesh",2017,4,NULL,95.0
"Bangladesh",2017,NULL,NULL,494.0
"Bangladesh",2018,1,"February",0
"Bangladesh",2018,1,"January",34.0
"Bangladesh",2018,1,"March",0
"Bangladesh",2018,1,NULL,34.0
"Bangladesh",2018,2,"April",33.0
"Bangladesh",2018,2,"June",14.0
"Bangladesh",2018,2,"May",21.0
"Bangladesh",2018,2,NULL,68.0
"Bangladesh",2018,3,"August",0
"Bangladesh",2018,3,"July",0
"Bangladesh",2018,3,"September",0
"Bangladesh",2018,3,NULL,0
"Bangladesh",2018,4,"December",0
"Bangladesh",2018,4,"November",0
"Bangladesh",2018,4,"October",0
"Bangladesh",2018,4,NULL,0
"Bangladesh",2018,NULL,NULL,102.0
"Bangladesh",2019,1,"February",87.0
"Bangladesh",2019,1,"January",0
"Bangladesh",2019,1,"March",40.0
"Bangladesh",2019,1,NULL,127.0
"Bangladesh",2019,2,"April",0
"Bangladesh",2019,2,"June",4.0
"Bangladesh",2019,2,"May",39.0
"Bangladesh",2019,2,NULL,43.0
"Bangladesh",2019,3,"August",0
"Bangladesh",2019,3,"July",2.0
"Bangladesh",2019,3,"September",0
"Bangladesh",2019,3,NULL,2.0
"Bangladesh",2019,4,"December",10.0
"Bangladesh",2019,4,"November",56.0
"Bangladesh",2019,4,"October",0
"Bangladesh",2019,4,NULL,66.0
"Bangladesh",2019,NULL,NULL,238.0
"Bangladesh",2020,1,"February",15.0
"Bangladesh",2020,1,"January",0
"Bangladesh",2020,1,"March",0
"Bangladesh",2020,1,NULL,15.0
"Bangladesh",2020,2,"April",0
"Bangladesh",2020,2,"June",50.0
"Bangladesh",2020,2,"May",26.0
"Bangladesh",2020,2,NULL,76.0
"Bangladesh",2020,3,"August",0
"Bangladesh",2020,3,"July",0
"Bangladesh",2020,3,"September",281.0
"Bangladesh",2020,3,NULL,281.0
"Bangladesh",2020,4,"December",0
"Bangladesh",2020,4,"November",0
"Bangladesh",2020,4,"October",0
"Bangladesh",2020,4,NULL,0
"Bangladesh",2020,NULL,NULL,372.0
