"name","year","deaths","avg"
"Togo",2020,11.0,5.5000000000000000
"United States",2005,2064.0,1231.0000000000000000
"United States",2006,398.0,948.0000000000000000
"United States",2007,382.0,387.6666666666666667
"United States",2008,383.0,328.6666666666666667
"United States",2009,221.0,264.3333333333333333
"United States",2010,189.0,414.3333333333333333
"United States",2011,833.0,446.6666666666666667
"United States",2012,318.0,460.3333333333333333
"United States",2013,230.0,255.0000000000000000
"United States",2014,217.0,254.3333333333333333
"United States",2015,316.0,291.3333333333333333
"United States",2016,341.0,333.6666666666666667
"United States",2017,344.0,337.3333333333333333
"United States",2018,327.0,303.6666666666666667
"United States",2019,240.0,273.3333333333333333
"United States",2020,253.0,246.5000000000000000
